labels,titles
clickbait,"Massa Terus Berteriak ""Pulangkan Neno Warisman"""
clickbait,Jawaban Pengelola Sirkuit Silverstone soal Batalnya GP Inggris
no,"Tokopedia Pecat Oknum Karyawan yang Diduga Curang dalam ""Flash Sale"""
clickbait,"Wajib Baca, Bungker Mewah hingga Karya Zaha Hadid di Mesir"
no,Ketua KY Ingatkan Hakim Jangan Main-main dengan Korupsi
no,Facebook Hapus Postingan Twitter di Linimasa
no,Reksa Dana Saham Masih Jadi favorit Investor
no,Perseteruan MotoGP dan F1 karena Aspal Sirkuit
clickbait,"Di Tengah Ketidakpastian Pasar, Reksa Dana Apa yang Cocok Dipilih?"
no,Festival Cross Border di NTT untuk Menggaet Wisatawan Timor Leste
no,Produksi Motor Viar Masih Jauh dari Kapasitas Pabrik
clickbait,Dukungan Prilly Latuconsina Bikin Maxime Bouttier Semangat Jadi Sutradara
no,Pertamax Turbo Mulai Dipasarkan di Kalimantan
no,"Era Suku Bunga Tinggi, Bank Harus Cerdik Cari Dana Murah"
clickbait,Rizky Febian Tak Kuasa Menahan Tangis Saat Harus Ungkapkan Hal Ini...
no,Guru Honorer Ditemukan Tewas di Kamarnya
no,"Diduga Korupsi, Delapan Mantan Agen Intelijen Malaysia Ditangkap"
no,"Pengikut Instagram Sedikit, Anya Dwinov Enggan Beli Followers"
clickbait,"Sandiaga: Pak Prabowo Kan ""Charming"" Juga"
no,"Turis Eropa Menari Sanggu Alu, Lipa Songke, dan Congkae Sae di Flores"
no,Oppo R15 Diuji Coba Dipasangi Modem 5G
no,"Mal dan Hotel Harus Didorong Sediakan ""Charging Station"" EV"
clickbait,"Kenapa ""Jodohnya"" Sate adalah Gulai dan Tongseng?"
no,Empati Para Insinyur Muda untuk Korban Gempa Lombok
no,Jokowi Merasa Terhormat Indonesia Jadi Negara Pertama yang Dikunjungi PM Scott Morrison
no,"Dua Ekor Orangutan ""Pulang Kampung"" ke Habitat Asli"
no,Plus Minus Mobil Penggerak Roda Depan dan Belakang
no,Polisi Cari Pemilik Mobil yang Gunakan Pelat Nomor Berputar Otomatis
clickbait,"Calon Pengantin, Jangan Abaikan Tes ""Make Up"" Sebelum Pilih Perias"
clickbait,"Moskow, Rumahnya Pencakar Langit Eropa"
no,"Perlancar Arus Finansial Faskes, BPJS Kesehatan Gandeng Bank Muamalat"
clickbait,Teliti Sebelum Meminjam Uang Via Fintech
no,"Putus Rantai Kemiskinan, Pemerintah Genjot Pembangunan SDM"
clickbait,Nikita Mirzani Beri Tanggapan tentang Billy Syahputra-Hilda Vitria
clickbait,"Gugatan Ditolak, Penulis Cerita Asli Benyamin Biang Kerok Akan Naik Banding"
clickbait,Pedagang Motor Bekas Tak Peduli soal DP 0 Persen
clickbait,Amukan Massa terhadap Pengemudi Livina yang Tabrak Pengendara Motor di Mangga Besar...
no,"Mengenal Khasiat Lidah Buaya, untuk Kulit hingga Sembelit"
no,Perpanjangan Jalur LRT hingga Bogor Bakal Pakai Skema KPBU
clickbait,Pria Ini Ditangkap karena Rekam Wanita Tetangganya yang Sedang Mandi
clickbait,"Menang Lotre 14 Kali, Ekonom Romania Ini Pakai Rumus Rahasia"
clickbait,Pesan Luis Milla untuk Sepak Bola Indonesia
no,Dubes Korea Sebut Akan Permudah Visa bagi Turis Indonesia
no,"Kongres Pancasila UGM, Mahfud MD Tegaskan Indonesia Bukan Negara Agama"
clickbait,"Bisa untuk Investasi, Simak Tips Menjaga Tas ""Branded"""
no,Isi Waktu Libur Akhir Pekan? Coba ke Korea Themed Festival 2018
no,Megawati Tertarik Pencak Silat karena Kelembutan dan Serangan Tiba-tiba
no,Stadion Akuatik GBK Telah Mendapat Sertifikasi Federasi Renang Internasional
clickbait,"3 Tren ""Smart City"" Ini Bikin Hidup Makin Yahud"
no,"Matahari Lakukan ""Buyback"" Senilai Rp 1,25 Triliun"
clickbait,"Dua Penghargaan Internasional, Kado Ultah Ke-87 Buat Ciputra"
clickbait,Buaya Florida Tertangkap Gunakan Pelampung untuk Berenang
clickbait,"6 Fakta Kasus Begal Mahasiswi di Bandung, Terjadi Seusai Makan Bakso hingga Korban Meninggal"
no,Bank Sinarmas Luncurkan Kartu Kredit untuk Generasi Milenial
clickbait,Jangan Lupakan Ban Cadangan Mobil Anda
clickbait,"Kokedama, Solusi Kekurangan Lahan Hijau di Rumah"
clickbait,"Jadi Pembuka Konser Paramore, Tantri KotaK Makin Deg-degan"
clickbait,5 Hidangan yang Disantap Atlet Asian Games
no,Rapor “Wholesales” Mobil di Januari-Juli 2018
clickbait,"Layaknya James Bond, Aksesori Ini Bikin Pelat Nomor Berganti Otomatis"
clickbait,"Rumah Tipe 36 untuk Rifki, Karateka Peraih Emas Asian Games"
clickbait,Respons Son Heung-min soal Potensi Bertemu Jepang di Final Asian Games
no,Pebalap MotoGP Beri Dukungan buat Lombok
no,Venezuela Klaim Ribuan Warganya yang Mengungsi Ingin Kembali
no,ICW: Bawaslu Arogan Loloskan Mantan Koruptor Jadi Bakal Caleg
clickbait,Terpopuler: Kereta Cepat Incheon Dihentikan dan Fungsi Bola Trotoar
no,Ekspor China Anjlok Terdampak Perang Dagang
no,Atlet Loncat Indah Tetap Puas meski Tanpa Medali
no,"Digitalisasi Nozzle, Data SPBU Se-Indonesia Terpantau Secara Real Time"
clickbait,Ikuti Perjalanan Kelahiran Kembali Wiro Sableng lewat VIK
clickbait,"Warga Bentrok gara-gara Sapi Diusir, 1 Tewas, 8 Orang Terluka"
no,"Kasus Idrus Marham, KPK Panggil Manajer Senior Pengadaan IPP PLN"
no,"Semester I, Laba PP Properti Naik 15 Persen"
clickbait,Lima PR Pemerintah dalam Penyediaan Rumah Rakyat
clickbait,Bahaya Glorifikasi Generasi Milenial
clickbait,"Surga Barang ""Preloved"" Irresistible Bazaar Hadir Lagi di Gandaria City"
no,"Tekan Harga, Viar Jajaki Sistem Rental Baterai Motor Listrik"
clickbait,Nissan Terra Sentuh Aspal Jawa Tengah
clickbait,"Video: Hands-on Pocophone F1, Ada Harga Ada Rupa"
clickbait,"Sneakers Emas LeBron Bernilai Lebih dari Rp 1,46 M. Apa Istimewanya?"
no,"Persembahkan Medali Perak, Fadlin Berencana Pensiun dari Pelatnas"
no,Tiket Penerbangan Citilink dan Air Asia Bisa Dicicil di Home Credit
no,Presiden Jokowi Sajikan Pisang Goreng dan Wedang Jahe untuk PM Australia
clickbait,Fakta Baru Soal Pelayanan Bengkel Resmi di Indonesia
clickbait,Tekanan terhadap Rupiah Bisa Terus Berlanjut
no,Samsung Galaxy Note 9 Resmi Dijual di Indonesia
no,Pocophone F1 yang Dijual Xiaomi di Indonesia Dilaporkan Bermasalah
clickbait,"Tantri KotaK: Dalam Kondisi Tertentu, Gue Setuju Lipsync"
no,Jambore Hari Konservasi Alam Nasional 2018 Resmi Digelar
